ext,proj_name,type,len,text,referencedLine
cpp,tensorflow,singleton,1,// Parse delegate options,"const std::vector<std::string> options =
        SplitString(params.Get<std::string>(""external_delegate_options""), ';');"
cpp,tensorflow,singleton,1,// its size. Might as well populate it with -1.,input_shape.push_back(ShapedType::kDynamic);
cpp,godot,singleton,1,// This is the best we can do unfortunately.,return Input::get_singleton()->get_mouse_position();
cpp,godot,inline,1,// PHYSICS_2D_DISABLED,"#ifndef PHYSICS_2D_DISABLED
			// Physics quadrants are drawn from their origin.
			Vector2i physics_quadrant_origin = _coords_to_quadrant_coords(cell_data.coords, physics_quadrant_size) * physics_quadrant_size;
			quadrants_to_updates.insert(_coords_to_quadrant_coords(physics_quadrant_origin, TILE_MAP_DEBUG_QUADRANT_SIZE));
#endif"
cpp,tensorflow,singleton,1,// Initializes the output tensor and out_count with 0.,out_mat.setZero();
cpp,tensorflow,block,3,"// CollectivePermuteStart produces a tuple of
// {aliased operand, destination buffer, contexts}, where the context
// data are optional.",define_value_at(/*index=*/{});
cpp,opencv,block,2,"// An intermediate matrix, the inverse of what is called ""H"" in the paper
// (see eq. 25)","Mat H = Mat::zeros(3, 3, CV_64F);"
cpp,tensorflow,block,3,"// vector, which will be fed to the ExecutionOutput, which will use
// the indices to drop the addresses from its own ScopedShapedBuffer
// result, if the ExecutionOutput is not committed.",result.AddAliasedIndex(index);
cpp,opencv,inline,1,// check if we succeeded,(!cap.isOpened())
cpp,godot,inline,1,// [y][x],vec4F block_pixels[BLOCK_H][BLOCK_W];
cpp,tensorflow,singleton,1,// Compute padding.,const RuntimeShape& filter_shape = GetTensorShape(filter);
cpp,tensorflow,singleton,1,// Update the reachability graph.,"UpdateReachability(fusion, fused, all_fusion_candidates_,
                     [this](HloInstruction* instr) { return is_fused(instr); });"
cpp,bitcoin,inline,1,// 1 method identifier follows...,vSocks5Init.push_back(0x01);
cpp,tensorflow,singleton,1,// Currently unrolled loop does not support this optimization.,"if (!loop.windowed_in_contracting_dims &&
        !loop.operands_sharded_at_contracting_dims) {
      // We have a dynamic-update-slice for the output in
      // batch/non-contracting-dim windowed dot-general. So moving reduce ops
      // into the loop could help reduce memory.
      TF_RETURN_IF_ERROR(
          MoveUsersIntoWindowedDotGeneralLoopOnNonContractingDimensions(
              loop.while_loop, options));
    }"
cpp,opencv,inline,1,// end of while loop,"while (is_best_model_updated) {
            is_best_model_updated = false;

            // Build graph problem. Apply graph cut to G
            int labeling_inliers_size = labeling(new_model);
            for (int iter = 0; iter < lo_inner_iterations; iter++) {
                // sample to generate min (|I_7m|, |I|)
                int num_of_estimated_models;
                if (labeling_inliers_size > gc_sample_size) {
                    // generate random subset in range <0; |I|>
                    num_of_estimated_models = estimator->estimateModelNonMinimalSample
                            (lo_sampler->generateUniqueRandomSubset(labeling_inliers,
                                   labeling_inliers_size), gc_sample_size, gc_models, weights);
                } else {
                    if (iter > 0) break; // break inliers are not updated
                    num_of_estimated_models = estimator->estimateModelNonMinimalSample
                            (labeling_inliers, labeling_inliers_size, gc_models, weights);
                }
                for (int model_idx = 0; model_idx < num_of_estimated_models; model_idx++) {
                    const Score gc_temp_score = quality->getScore(gc_models[model_idx]);
                    // store the best model from estimated models
                    if (gc_temp_score.isBetter(new_model_score)) {
                        is_best_model_updated = true;
                        new_model_score = gc_temp_score;
                        gc_models[model_idx].copyTo(new_model);
                    }
                }

                if (termination != nullptr && is_best_model_updated && current_ransac_iter > termination->update(best_model, best_model_score.inlier_number)) {
                    is_best_model_updated = false; // to break outer loop
                }

            } // end of inner GC local optimization
        }"
cpp,tensorflow,block,8,"// don't.
//
// NOTE: If a dimension has size 1, we group it as the current
// run so that we can minimize the number of runs.
//
// E.g., when we want to reduce a tensor of shape [2, 1, 3, 1,
// 5] by axes = [1, 4], we should treat the tensor as a [6, 5]
// and reduce by axes = [1] (i.e., the output is shape [6]).",reduce_first_axis_ = bitmap[dim_index];
cpp,opencv,singleton,1,// Check if the input is an image,"if (input.find("".jpg"") != String::npos || input.find("".png"") != String::npos)
        {
            img = imread(findFile(input));
            if (img.empty())
            {
                CV_Error(Error::StsError, ""Cannot read image file: "" + input);
            }
            isImage = true;
        }
        else
        {
            cap.open(input);
            if (!cap.isOpened())
            {
                CV_Error(Error::StsError, ""Cannot open video "" + input);
            }
            isCamera = true;
        }"
cpp,bitcoin,block,4,"// If number of conflict confirms cannot be determined, this means
// that the block is still unknown or not yet part of the main chain,
// for example when loading the wallet during a reindex. Do nothing in that
// case.","if (m_last_block_processed_height < 0 || conflicting_height < 0) {
        return;
    }"
cpp,tensorflow,block,1,/*mask_invalid_region=*/,"needs_masking ,"
cpp,tensorflow,inline,1,// stride planes,","
cpp,godot,block,2,"// Character is starting a new line.  Bump up the line number, and
//  reset the column to 0.",fLineNum++;
cpp,godot,singleton,1,// Add a comment to describe the shader origin (useful when converting to ShaderMaterial).,"String code = vformat(
			""// NOTE: Shader automatically converted from "" GODOT_VERSION_NAME "" "" GODOT_VERSION_FULL_CONFIG ""'s %s.\n\n"",
			orm ? ""ORMMaterial3D"" : ""StandardMaterial3D"");"
cpp,tensorflow,singleton,1,// The node represents `tf.shape(tensor)`.,InferenceContext* c = refiner.GetContext(&node);
cpp,tensorflow,singleton,1,// narrower significand to the wider significand.,"int64_t to_highest = llvm::APFloat::getLargest(to_ty.getFloatSemantics())
                             .bitcastToAPInt()
                             .getZExtValue();"
cpp,godot,singleton,1,"//if ((_floatExact(val, 2.2250738585072011f)) && ((minus_e * static_cast<int>(exponentPart)) <= -308)) {","if ((_floatExact(val, 1.175494351f)) && ((minus_e * static_cast<int>(exponentPart)) <= -38)) {
            //val *= 1.0e-308f;
            val *= 1.0e-38f;
            a = iter;
            goto success;
        }"
cpp,tensorflow,singleton,1,// Each TF attribute is represented as a pair of name and value strings.,std::string name = attrs.GetStringAttribute(i * 2).str();
cpp,tensorflow,singleton,1,// the start of each list's dims.,std::unique_ptr<const int64_t*[]> dims(new const int64_t*[num_values]);
cpp,tensorflow,block,3,"// where C1 and C2 are constants and X is non-constant.
//
// TODO(rmlarsen): Use PrepareConstantPushDown() to simplify this code.",if (!IsAnyMul(*node) || NumNonControlInputs(*node) != 2) return false;
cpp,godot,inline,1,// JPH_EXTERNAL_PROFILE || JPH_PROFILE_ENABLED,"#if defined(JPH_EXTERNAL_PROFILE) || defined(JPH_PROFILE_ENABLED)
		// Set the name of the layer
		mLayers[l].SetName(inLayerInterface.GetBroadPhaseLayerName(BroadPhaseLayer(BroadPhaseLayer::Type(l))));
#endif"
cpp,opencv,singleton,1,// repeated string stage = 4;,"case 4:
        if (PROTOBUF_PREDICT_TRUE(static_cast<uint8_t>(tag) == 34)) {
          ptr -= 1;
          do {
            ptr += 1;
            auto str = _internal_add_stage();
            ptr = ::PROTOBUF_NAMESPACE_ID::internal::InlineGreedyStringParser(str, ptr, ctx);
            #ifndef NDEBUG
            ::PROTOBUF_NAMESPACE_ID::internal::VerifyUTF8(str, ""opencv_caffe.NetStateRule.stage"");
            #endif  // !NDEBUG
            CHK_(ptr);
            if (!ctx->DataAvailable(ptr)) break;
          } while (::PROTOBUF_NAMESPACE_ID::internal::ExpectTag<34>(ptr));
        } else
          goto handle_unusual;
        continue;"
cpp,godot,singleton,1,// Update the action's per-device state.,ActionState::DeviceState &device_state = action_state.device_states[device_id];
cpp,tensorflow,block,2,"// TODO(b/139809335): This does not properly clean up remote resources
// Clean up the previous step container and create a new one.","step_container_ = std::make_unique<ScopedStepContainer>(
        0, [this](const string& name) { ClearResourceContainer(name); });"
cpp,grpc,singleton,1,// since we may need to notify the LB policy about trailing metadata.,"if (batch->recv_trailing_metadata) {
    recv_trailing_metadata_ =
        batch->payload->recv_trailing_metadata.recv_trailing_metadata;
    transport_stream_stats_ =
        batch->payload->recv_trailing_metadata.collect_stats;
    original_recv_trailing_metadata_ready_ =
        batch->payload->recv_trailing_metadata.recv_trailing_metadata_ready;
    GRPC_CLOSURE_INIT(&recv_trailing_metadata_ready_, RecvTrailingMetadataReady,
                      this, nullptr);
    batch->payload->recv_trailing_metadata.recv_trailing_metadata_ready =
        &recv_trailing_metadata_ready_;
  }"
cpp,godot,block,4,"// printf(""Live names\n"");
// for (TNameToIndex::const_iterator it = nameToIndex.begin(); it != nameToIndex.end(); ++it)
//    printf(""%s: %d\n"", it->first.c_str(), it->second);
// printf(""\n"");",}
cpp,godot,inline,1,/*version*/,int
cpp,godot,inline,1,// make sure interval_timer globals are initialized from main thread to avoid TSAN reports,interval_timer::init();
cpp,godot,block,6,"// Find the state table element that matches the input char from the rule, or the
//    class of the input character.  Start with the first table row for this
//    state, then linearly scan forward until we find a row that matches the
//    character.  The last row for each state always matches all characters, so
//    the search will stop there, if not before.
//",tableEl = &gRuleParseStateTable[state];
cpp,grpc,singleton,1,// cancel out streams that will never be started,"if (t->next_stream_id >= MAX_CLIENT_STREAM_ID) {
    while (grpc_chttp2_list_pop_waiting_for_concurrency(t, &s)) {
      s->trailing_metadata_buffer.Set(
          grpc_core::GrpcStreamNetworkState(),
          grpc_core::GrpcStreamNetworkState::kNotSentOnWire);
      grpc_chttp2_cancel_stream(
          t, s,
          grpc_error_set_int(GRPC_ERROR_CREATE(""Stream IDs exhausted""),
                             grpc_core::StatusIntProperty::kRpcStatus,
                             GRPC_STATUS_UNAVAILABLE),
          false);
    }
  }"
cpp,opencv,inline,1,// i_t (*) g_t,"multiply(gateI, gateG, gateI);"
cpp,godot,singleton,1,// Forcing new temporaries guarantees forward progress.,"if (res.second)
		force_recompile_guarantee_forward_progress();
	else
		force_recompile();"
cpp,tensorflow,block,9,"//   elements within the windows: 0th window goes to N-1st spot, 1st window
//   goes to N-2nd spot etc.
//
// For the running example, the result will be:
//   [[[5, 6], [3, 4], [1, 2]], [[11, 12], [9, 10], [7, 8]]].
//
// Note how elements within windows haven't changed their order with respect
// to each other and how blocks haven't changed their order with respect to
// each other.",int64_t numWindows = type.getDimSize(dim);
cpp,tensorflow,inline,1,// GOOGLE_CUDA || TENSORFLOW_USE_ROCM,"#if (defined(GOOGLE_CUDA) && GOOGLE_CUDA) || \
    (defined(TENSORFLOW_USE_ROCM) && TENSORFLOW_USE_ROCM)
  mutex_lock lock(mu_);
  CHECK(gpu_allocators_.empty())  // Crash OK
      << ""AddGPUAllocVisitor must be called before ""
         ""first call to GetGPUAllocator."";
  DCHECK_GE(bus_id, 0);
  while (bus_id >= static_cast<int64_t>(gpu_visitors_.size())) {
    gpu_visitors_.push_back(std::vector<SubAllocator::Visitor>());
  }
  gpu_visitors_[bus_id].push_back(visitor);
#endif"
cpp,tesseract,singleton,1,// Convert to unicodes.,std::vector<char32> unicodes = UNICHAR::UTF8ToUTF32(get_normed_unichar(id));
cpp,godot,singleton,1,"// If a script is attached, get methods from it.",ScriptInstance *si = target->get_script_instance();
cpp,godot,inline,1,// Define a very small minimum window size to prevent bugs such as GH-37242.,"root->set_min_size(Size2i(64, 64));"
cpp,godot,block,1,/* Very bad name used. */,return nullptr;
cpp,godot,block,3,"// The new process
// Create a new session-ID so parent won't wait for it.
// This ensures the process won't go zombie at the end.",setsid();
cpp,tensorflow,singleton,1,// use of DTensor.,"static const char* env_str = (std::getenv(""DTENSOR_ENABLE_REUSE_GROUP_KEY""));"
cpp,tensorflow,singleton,1,// to reduce as a constant node.,SmallVector<int> elements(input_shape.getRank());
cpp,godot,singleton,1,// input order,"while (input_cursor < vertex_count)
	{
		if (live_triangles[input_cursor] > 0)
			return input_cursor;

		++input_cursor;
	}"
cpp,godot,inline,1,// child of source (below a technique tag),{
cpp,tensorflow,block,7,"//  Cast|Const: 1/sqrt(2)    Cast|Const: 1
//                  \               \
  //  * --> BiasAdd --> Mul --> Erf --> Add|AddV2 --> Mul
//      /         \                                 /
// MatMul           ----------------------------> Mul
//                                                /
//                                  Cast|Const: 1/2","static utils::OpTypePattern* gelu_exact_pattern3 = new utils::OpTypePattern
    {""Mul"", ""output"", NodeStatus::kReplace,
      {
        {""Add|AddV2"", ""erf_plus_one"", NodeStatus::kRemove,
          {
            {""Erf"", ""erf"", NodeStatus::kRemove,
              {
                {""Mul"", ""bias_add_x_sqrt_one_half"", NodeStatus::kRemove,
                  {
                    {""BiasAdd"", ""bias_add"", NodeStatus::kRemove},
                    {""Cast|Const"", ""sqrt_one_half"", NodeStatus::kRemain}
                  }
                }  // Mul: ""bias_add_x_sqrt_one_half""
              }
            },  // Erf: ""erf""
            {""Cast|Const"", ""one"", NodeStatus::kRemain}
          }
        },  // Add|AddV2: ""erf_plus_one""
        {""Mul"", ""erf_plus_one_times_one_half"", NodeStatus::kRemove,
          {
            {""BiasAdd"", ""bias_add"", NodeStatus::kRemove,
              {
                {""MatMul"", ""matmul"", NodeStatus::kRemove},
                {""*"", ""bias"", NodeStatus::kRemain}
              }
            },  // BiasAdd: ""bias_add""
            {""Cast|Const"", ""one_half"", NodeStatus::kRemain}
          }
        }  // Mul: ""erf_plus_one_times_one_half""
      }
    };"
cpp,tensorflow,block,1,/*user_index=*/,value.defining_index() )
cpp,tensorflow,block,1,/*required_outputs=*/,1 )
cpp,godot,singleton,1,"// It's likely accessed in a branch, so assume we must preserve.",return true;
cpp,opencv,inline,1,// ADDRESS_SANITIZER,"#ifdef ADDRESS_SANITIZER
  ASAN_POISON_MEMORY_REGION(ptr_, limit_ - ptr_);
#endif"
cpp,opencv,block,3,"//  nx*nx*N*Cxx + 2nx*ny*N*Cxy + ny*ny*N*Cyy
// sum of squared errors","if (err)
        *err = nx*nx*N*Cxx + 2*nx*ny*N*Cxy + ny*ny*N*Cyy;"
cpp,tensorflow,singleton,1,// Retrieve related function information.,const std::string& function_name = bare_cf.concrete_function_name();
cpp,tensorflow,block,1,/*padding=*/,DenseIntElementsAttr(nullptr) )
cpp,godot,singleton,1,"//Correction of out-of-range radii, see F6.6.2 (step 4)","if (lambda > 1.0f) {
        //See F6.6.3
        float lambdaRoot = sqrtf(lambda);

        rx *= lambdaRoot;
        ry *= lambdaRoot;
        //Update rx2 and ry2
        rx2 = rx * rx;
        ry2 = ry * ry;
    }"
cpp,tensorflow,block,3,"// We also need constant begin/end indices and strides to perform padding
// calculations.
// Bounded shape after performing strided slice","SmallVector<int64_t, 4> shape;"
cpp,opencv,singleton,1,// (re) allocated scaled image,"if( image_widget->flags & CV_WINDOW_NO_IMAGE ){
          cvImageWidget_set_size( widget, image_widget->original_image->cols,
                                          image_widget->original_image->rows);
      }
      else{
          cvImageWidget_set_size( widget, allocation->width, allocation->height );
      }"
cpp,tensorflow,block,1,/*host_memory_allocator=*/,"std::move(info->host_memory_allocator) ,"
cpp,tensorflow,singleton,1,// OK also falls here.,return false;
cpp,opencv,singleton,1,"// post process, create last node correctly.","if (isLast && ld.backendNodes[DNN_BACKEND_TIMVX])
        {
            auto tmpNode = ld.backendNodes[DNN_BACKEND_TIMVX].dynamicCast<TimVXBackendNode>();
            tmpNode->isLast = true;
            // update graphConflictMap
            tvUpdateConfictMap(graphIndex, ld, timVxInfo.graphConflictMap);
        }"
cpp,tesseract,inline,1,// from this,const BLOCK &source
cpp,tensorflow,inline,1,/*num_upper_diags=*/,","
cpp,godot,singleton,1,// Test if we want to accept this hit,"if (mValidateBodyPair)
					{
						switch (mSystem->mContactManager.ValidateContactPoint(*mBody1, *mBody2, mBody1->GetCenterOfMassPosition(), inResult))
						{
						case ValidateResult::AcceptContact:
							// We're just accepting this one, nothing to do
							break;

						case ValidateResult::AcceptAllContactsForThisBodyPair:
							// Accept and stop calling the validate callback
							mValidateBodyPair = false;
							break;

						case ValidateResult::RejectContact:
							// Skip this contact
							return;

						case ValidateResult::RejectAllContactsForThisBodyPair:
							// Skip this and early out
							ForceEarlyOut();
							return;
						}
					}"
cpp,godot,inline,1,// No config.,return;
cpp,tensorflow,singleton,1,// Handle dynamic input shapes.,"if (!dynamic_input_size_indices.empty()) {
    TF_RETURN_IF_ERROR(HandleDynamicStridedSliceInput(
        &*builder, *slice, *strided_slice_spec, dynamic_input_size_indices,
        begin_dims->AsTrtDims(), stride_dims->AsTrtDims(),
        end_dims->AsTrtDims()));
  }"
cpp,bitcoin,block,4,"// Must have at least two matches since we want to merge across
// files. But what if we have a single file that contains many
// overwrites and deletions?  Should we have another mechanism for
// finding such files?","if (state.matches >= 2) {
    // 1MB cost is about 1 seek (see comment in Builder::Apply).
    return UpdateStats(state.stats);
  }"
cpp,x64dbg,inline,1,//initialize,(!disasm || !basicinfo)
cpp,bitcoin,block,2,"// chain tip, so we use that to calculate the median time passed to
// IsFinalTx().",const int64_t nBlockTime{active_chain_tip.GetMedianTimePast()};
cpp,terminal,block,6,"// Search box is in Visible visibility state by default. This is to make
// sure DesiredSize() returns the correct size for the search box.
// (DesiredSize() seems to report a size of 0,0 until the control is
// visible for the first time, i.e not in Collapsed state).
// Here, we set the search box to ""Closed"" state (and hence Collapsed
// visibility) after we've updated the size-dependent properties.","VisualStateManager::GoToState(*this, L""Closed"", false);"
cpp,tensorflow,block,3,"// Here we will try to parse the input tensor handle to see if it
// contains a valid TF lite resource ID. If not, then we know that the
// input is a TF resource tensor.","tensorflow::ResourceHandle handle =
            tf_tensor.flat<tensorflow::ResourceHandle>()(0);"
cpp,godot,singleton,1,// Check if we should cleanup everything.,bool forced_cleanup = p_force_cleanup || !enabled || !is_inside_tree() || tile_set.is_null();
cpp,tensorflow,singleton,1,// `current_element_iterator_` is propagated,ctx->MergeCheckpoint(nested_ctx.checkpoint());
cpp,tensorflow,singleton,1,// This is the directory marker object. Delete it.,"return DeleteFile(MaybeAppendSlash(dirname), token);"
cpp,godot,singleton,1,// Add missing connections.,"if (GLOBAL_GET(""debug/gdscript/warnings/enable"")) {
		Node *base = get_tree()->get_edited_scene_root();
		if (base && missing_connections.size() > 0) {
			has_connections_table = true;
			warnings_panel->push_table(1);
			for (const Connection &connection : missing_connections) {
				String base_path = base->get_name();
				String source_path = base == connection.signal.get_object() ? base_path : base_path + ""/"" + base->get_path_to(Object::cast_to<Node>(connection.signal.get_object()));
				String target_path = base == connection.callable.get_object() ? base_path : base_path + ""/"" + base->get_path_to(Object::cast_to<Node>(connection.callable.get_object()));

				warnings_panel->push_cell();
				warnings_panel->push_color(warnings_panel->get_theme_color(SNAME(""warning_color""), EditorStringName(Editor)));
				warnings_panel->add_text(vformat(TTR(""Missing connected method '%s' for signal '%s' from node '%s' to node '%s'.""), connection.callable.get_method(), connection.signal.get_name(), source_path, target_path));
				warnings_panel->pop(); // Color.
				warnings_panel->pop(); // Cell.
			}
			warnings_panel->pop(); // Table.

			warning_nb += missing_connections.size();
		}
	}"
cpp,opencv,block,2,"// operations (seekg() can be fairly expensive).
//","streamData->currentPosition = tileOffset + 4 * Xdr::size<int>() +
                                  3 * Xdr::size<Int64>()            +
                                  tableSize                         +
                                  dataSize;"
cpp,tensorflow,singleton,1,// Step 2),llvm::DenseSet<llvm::StringRef> used_dimensions;
cpp,tensorflow,singleton,1,"// cases, so restrictions here are conservative to these.","if (minBitWidth <= 8 && config.num_warps > 8) {
    config.block_m = std::max(config.block_m, 32);
  }"
cpp,godot,inline,1,// B,write_buffer[index + 2] = static_cast<uint8_t>(f2);
cpp,tensorflow,block,1,/*mem_size=*/,ShapeUtil::ByteSizeOf(shape) )
cpp,tensorflow,block,1,/*aux_input=*/,"nullptr ,"
cpp,tensorflow,block,1,/*bias=*/,"*new_bias.getOutput().begin() ,"
cpp,terminal,singleton,1,// Insert the reason and the URI,CouldNotOpenUriReason().Text(reason);
cpp,grpc,block,2,"// If the connection was aborted, the callback was already called when
// the deadline was met.","grpc_core::ExecCtx::Run(DEBUG_LOCATION, on_done, error);"
cpp,tensorflow,block,1,/*deserialize_xla_call_module=*/,"false , *function_aliases )"
java,elasticsearch,singleton,1,"// now we should have field name, check and copy fields over to the suggestion builder we return","if (fieldname == null) {
            throw new ParsingException(parser.getTokenLocation(), ""the required field option is missing"");
        }"
java,elasticsearch,block,2,"// When doing an operation across all indices, most of the time is spent on actually going to all shards and
// do the required operations, the bottleneck isn't resolving expressions into concrete indices.",String[] visibleIndicesArray = visibleIndices.toArray(String[]::new);
java,beam,block,3,"// The delegate may have pushed back unprocessed elements across multiple keys and windows.
// Since processing is single-threaded per key and window, we don't need to regroup the
// outputs, but just make a bunch of singletons","for (WindowedValue<?> untypedUnprocessed : delegateResult.getUnprocessedElements()) {
        WindowedValue<KV<K, InputT>> windowedKv = (WindowedValue<KV<K, InputT>>) untypedUnprocessed;
        WindowedValue<KeyedWorkItem<K, KV<K, InputT>>> pushedBack =
            windowedKv.withValue(
                KeyedWorkItems.elementsWorkItem(
                    windowedKv.getValue().getKey(), Collections.singleton(windowedKv)));

        regroupedResult.addUnprocessedElements(pushedBack);
      }"
java,ignite,block,2,"// No-op.
// Disconnect is handled from PlatformProcessor.onDisconnected.",}
java,ignite,singleton,1,// Batch was stolen by the main stream.,"if (!sharedBatchesSet.remove(batch))
                    return null;"
java,ignite,singleton,1,// Update the byte with the alignedBits.,bytes[byteIndex] |= (byte)alignedBits;
java,cassandra,singleton,1,// Short circuit equal case,"if (buffer1 == buffer2 && offset1 == offset2 && length1 == length2)
                return 0;"
java,cassandra,inline,1,// algorithm,","
java,dubbo,singleton,1,// do nothing by default,}
java,elasticsearch,singleton,1,// concatenating deterministic automata should result in a deterministic automaton. No need to determinize here.,assert a.isDeterministic();
java,elasticsearch,singleton,1,// cannot make sense of this file url,return null;
java,kafka,block,2,"// This is an incremental snapshot,
// so we need to apply it to our current soft state.","shareStateMap.compute(mapKey, (k, v) -> v == null ? offsetRecord : merge(v, value));"
java,beam,singleton,1,"// finished, this is the end of the iteration.",isDone = true;
java,spark,singleton,1,// Full hash code matches.  Let's compare the keys for equality.,"loc.with(pos, hash, true);"
java,elasticsearch,singleton,1,"// that run on shards run in the threadpool, indices should be effectively closed by now.","if (nodeService.awaitClose(0, TimeUnit.MILLISECONDS) == false) {
                throw new IllegalStateException(
                    ""Some shards are still open after the threadpool terminated. ""
                        + ""Something is leaking index readers or store references.""
                );
            }"
java,spark,block,3,"// Java String's split method supports ""ignore empty string"" behavior when the limit is 0
// whereas other languages do not. To avoid this java specific behavior, we fall back to
// -1 when the limit is 0.","if (limit == 0) {
      limit = -1;
    }"
java,elasticsearch,singleton,1,// index,"for (Map.Entry<String, CompletionInputMetadataContainer> completionInput : inputMap.entrySet()) {
            String input = completionInput.getKey();
            if (input.trim().isEmpty()) {
                context.addIgnoredField(mappedFieldType.name());
                continue;
            }
            // truncate input
            if (input.length() > maxInputLength) {
                int len = maxInputLength;
                if (Character.isHighSurrogate(input.charAt(len - 1))) {
                    assert input.length() >= len + 1 && Character.isLowSurrogate(input.charAt(len));
                    len += 1;
                }
                input = input.substring(0, len);
            }
            CompletionInputMetadataContainer cmc = completionInput.getValue();
            if (fieldType().hasContextMappings()) {
                for (CompletionInputMetadata metadata : cmc.getValues()) {
                    fieldType().getContextMappings().addField(context.doc(), fieldType().name(), input, metadata.weight, metadata.contexts);
                }
            } else {
                context.doc().add(new SuggestField(fieldType().name(), input, cmc.getWeight()));
            }
        }"
java,hadoop,inline,1,// Store or Update operation,{
java,elasticsearch,singleton,1,// move to a step with an invalid request,"Request moveToStepRequest = new Request(""POST"", ""_ilm/move/"" + index);"
java,dubbo,singleton,1,"// exactly one centroid, should have max==min",double width = max - min;
java,ignite,inline,1,// New reinit task scheduled or channel is closed.,"if (closed || (startChannelsReInit > finishChannelsReInit))
                        return;"
java,elasticsearch,singleton,1,// Trigger system index creation,"leaderClient().prepareIndex(FakeSystemIndex.SYSTEM_INDEX_NAME).setSource(Map.of(""a"", ""b"")).get();"
java,hadoop,singleton,1,// create scratch directory(output directory of gridmix),final FileSystem scratchFs = scratchDir.getFileSystem(conf);
java,kafka,singleton,1,// This means we're using the CLASSIC consumer group protocol.,"consumerProps.put(ConsumerConfig.PARTITION_ASSIGNMENT_STRATEGY_CONFIG, res.getString(""assignmentStrategy""));"
java,elasticsearch,singleton,1,"// Expressions like (a){0,3} match empty string or up to 3 a's.",result = new MatchAllDocsQuery();
java,elasticsearch,block,2,"// value source will be null for unmapped fields
// Important: use `rounding` here, not `shardRounding`","InternalDateHistogram.EmptyBucketInfo emptyBucketInfo = minDocCount == 0
                    ? new InternalDateHistogram.EmptyBucketInfo(rounding.withoutOffset(), buildEmptySubAggregations(), extendedBounds)
                    : null;"
java,ignite,block,1,/*op*/,1
java,elasticsearch,singleton,1,"// If we reached this point, all of the buffered ops should have been flushed successfully.",assert buffer == null;
java,spark,block,2,"// It only gets here when the key is not present in the map. The first time the merge
// manager receives a pushed block for a given application shuffle partition.","File dataFile =
        appShuffleInfo.getMergedShuffleDataFile(shuffleId, shuffleMergeId, reduceId);"
java,hadoop,singleton,1,// Return reference to the directory object.,"return updateFileStatusPath(meta, absolutePath);"
